year,month,cancellations
"2000","1","24515"
"2000","2","15188"
"2000","3","10237"
"2000","4","11642"
"2000","5","16513"
"2000","6","18632"
"2000","7","15526"
"2000","8","14991"
"2000","9","10365"
"2000","10","10369"
"2000","11","10912"
"2000","12","28600"
"2002","3","6033"
"2002","4","4513"
"2002","5","4442"
"2002","6","7666"
"2002","7","6260"
"2002","8","5339"
"2002","9","3686"
"2002","10","4549"
"2002","11","3675"
"2002","12","7356"
"2003","1","8341"
"2003","2","20001"
"2003","3","9554"
"2003","4","6334"
"2003","5","4313"
"2003","6","4161"
"2003","7","7835"
"2003","8","9109"
"2003","9","7691"
"2003","10","5091"
"2003","11","7407"
"2003","12","11632"
"2004","1","17611"
"2004","2","9481"
"2004","3","7603"
"2004","4","4485"
"2004","5","10381"
"2004","6","8796"
"2004","7","10132"
"2004","8","10163"
"2004","9","17969"
"2004","10","6695"
"2004","11","7337"
"2004","12","17104"
"2005","1","25084"
"2005","2","9505"
"2005","3","10169"
"2005","4","7532"
"2005","5","5877"
"2005","6","9916"
"2005","7","13851"
"2005","8","13452"
"2005","9","11532"
"2005","10","10475"
"2005","11","5586"
"2005","12","10751"
"2006","1","9787"
"2006","2","11293"
"2006","3","7586"
"2006","4","6604"
"2006","5","7057"
"2006","6","10088"
"2006","7","10735"
"2006","8","9783"
"2006","9","9950"
"2006","10","11399"
"2006","11","9558"
"2006","12","18094"
"2007","1","15777"
"2007","2","25465"
"2007","4","11138"
"2007","5","6841"
"2007","6","17243"
"2007","8","12295"
"2007","9","6507"
"2007","10","7327"
"2007","11","6279"
"2007","12","21554"
"2008","1","17308"
"2008","3","16183"
"2008","6","10931"
"2008","7","10598"
"2008","8","9835"
"2008","9","9913"
"2008","12","17777"
"2009","1","12430"
"2009","2","6092"
"2009","3","11682"
"2009","4","7974"
"2009","5","4792"
"2009","6","8282"
"2009","7","6838"
"2009","8","5618"
"2009","9","2934"
"2009","10","5273"
"2009","11","2732"
"2009","12","14730"
"2010","1","12833"
"2010","2","26300"
"2010","3","8231"
"2010","4","3637"
"2010","5","6716"
"2010","6","8279"
"2010","7","8170"
"2010","8","5613"
"2010","9","4754"
"2010","10","5275"
"2010","11","3755"
"2010","12","19692"
"2011","1","19134"
"2011","2","22179"
"2011","3","6671"
"2011","4","10163"
"2011","5","10754"
"2011","6","9290"
"2011","7","9232"
"2011","8","13726"
"2011","10","3901"
"2011","11","3228"
"2011","12","3713"
"2012","1","7104"
"2012","2","4661"
"2012","3","5410"
"2012","4","4961"
"2012","5","4479"
"2012","6","5786"
"2012","7","7710"
"2012","8","7099"
"2012","10","14624"
"2012","12","7970"
