airline_name,occurrances
"Aloha Air Cargo","1007"
"Midway Airlines Inc. (1)","1563"
"Ukraine International Airlines","2835"
"Pan American World Airways (1)","7342"
"Hawaiian Airlines Inc.","7714"
"ATA Airlines d/b/a ATA","8893"
"Virgin America","18598"
"Spirit Air Lines","22708"
"Piedmont Aviation Inc.","23429"
"Eastern Air Lines Inc.","35667"
"Independence Air","44962"
"Frontier Airlines Inc.","47199"
"Endeavor Air Inc.","59243"
"PSA Airlines Inc.","89514"
"Mesa Airlines Inc.","103516"
"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)","117113"
"AirTran Airways Corporation","120244"
"Trans World Airways LLC","123129"
"Alaska Airlines Inc.","128584"
"JetBlue Airways","178193"
"ExpressJet Airlines Inc. (1)","191498"
"Northwest Airlines Inc.","328390"
"Envoy Air","331306"
"Continental Air Lines Inc.","338054"
"SkyWest Airlines Inc.","379600"
"ExpressJet Airlines Inc.","427817"
"US Airways Inc.","494611"
"Delta Air Lines Inc.","694396"
"United Air Lines Inc.","823578"
"American Airlines Inc.","830426"
"Southwest Airlines Co.","879942"
