airline,occurrences
"Southwest Airlines Co.","8608761"
"American Airlines Inc.","5662498"
"Delta Air Lines Inc.","5117795"
"United Air Lines Inc.","4411713"
"US Airways Inc.","4015348"
"Northwest Airlines Inc.","3748212"
"Envoy Air","3543173"
"SkyWest Airlines Inc.","3305369"
"Continental Air Lines Inc.","2576079"
"ExpressJet Airlines Inc. (1)","2437936"
"ExpressJet Airlines Inc.","1833757"
"PSA Airlines Inc.","1499230"
"AirTran Airways Corporation","1363435"
"Alaska Airlines Inc.","1295755"
"America West Airlines Inc. (Me","969738"
"Mesa Airlines Inc.","942208"
"JetBlue Airways","893080"
"Independence Air","693047"
"Endeavor Air Inc.","630768"
"Frontier Airlines Inc.","368533"
"Hawaiian Airlines Inc.","312535"
"Trans World Airways LLC","267131"
"ATA Airlines d/b/a ATA","208420"
"Aloha Air Cargo","88910"
