dest_airport,max_arr_delay
"Abilene, TX: Abilene Regional","None"
"Lanai, HI: Lanai Airport","None"
"Longview, TX: East Texas Regio","None"
"Seattle, WA: Boeing Field/King","None"
"Kansas City, MO: Charles B. Wh","None"
"Detroit, MI: Detroit Metro Way","1808.0"
"Minneapolis, MN: Minneapolis-S","1634.0"
"New York, NY: LaGuardia","1438.0"
"Chicago, IL: Chicago O'Hare In","1434.0"
"Dallas/Fort Worth, TX: Dallas/","1434.0"
"Memphis, TN: Memphis Internati","1428.0"
"Baton Rouge, LA: Baton Rouge M","1416.0"
"Huntsville, AL: Huntsville Int","1367.0"
"Great Falls, MT: Great Falls I","1342.0"
"Los Angeles, CA: Los Angeles I","1339.0"
"Honolulu, HI: Honolulu Interna","1329.0"
"Chicago, IL: Chicago Midway In","1323.0"
"San Juan, PR: Luis Munoz Marin","1314.0"
"New York, NY: John F. Kennedy ","1313.0"
"Miami, FL: Miami International","1287.0"
"San Francisco, CA: San Francis","1285.0"
"San Jose, CA: Norman Y. Mineta","1276.0"
"Valparaiso, FL: Eglin AFB Dest","1239.0"
"Seattle, WA: Seattle/Tacoma In","1203.0"
"Eagle, CO: Eagle County Region","1198.0"
"Washington, DC: Washington Dul","1198.0"
"Salt Lake City, UT: Salt Lake ","1194.0"
"Buffalo, NY: Buffalo Niagara I","1191.0"
"Amarillo, TX: Rick Husband Ama","1176.0"
"Christiansted, VI: Henry E. Ro","1166.0"
"Charlotte Amalie, VI: Cyril E ","1158.0"
"Milwaukee, WI: General Mitchel","1112.0"
"Hayden, CO: Yampa Valley","1108.0"
"Boston, MA: Logan Internationa","1091.0"
"Guam, TT: Guam International","1088.0"
"Cleveland, OH: Cleveland-Hopki","1081.0"
"Kalamazoo, MI: Kalamazoo/Battl","1070.0"
"Hartford, CT: Bradley Internat","1068.0"
"Philadelphia, PA: Philadelphia","1053.0"
"Newark, NJ: Newark Liberty Int","1047.0"
"Orlando, FL: Orlando Internati","1041.0"
"Portland, OR: Portland Interna","1023.0"
"Nashville, TN: Nashville Inter","1021.0"
"Phoenix, AZ: Phoenix Sky Harbo","1015.0"
"Denver, CO: Denver Internation","997.0"
"Washington, DC: Ronald Reagan ","960.0"
"Raleigh/Durham, NC: Raleigh-Du","947.0"
"Oklahoma City, OK: Will Rogers","932.0"
"St. Louis, MO: Lambert-St. Lou","931.0"
"Rapid City, SD: Rapid City Reg","919.0"
"Houston, TX: George Bush Inter","910.0"
"Austin, TX: Austin - Bergstrom","876.0"
"New Orleans, LA: Louis Armstro","876.0"
"Norfolk, VA: Norfolk Internati","874.0"
"Midland/Odessa, TX: Midland In","873.0"
"Tampa, FL: Tampa International","870.0"
"Indianapolis, IN: Indianapolis","868.0"
"Atlanta, GA: Hartsfield-Jackso","866.0"
"San Antonio, TX: San Antonio I","861.0"
"Fort Myers, FL: Southwest Flor","844.0"
"Jackson, WY: Jackson Hole","842.0"
"Jacksonville, FL: Jacksonville","826.0"
"Tucson, AZ: Tucson Internation","825.0"
"Providence, RI: Theodore Franc","824.0"
"Kansas City, MO: Kansas City I","819.0"
"Newburgh/Poughkeepsie, NY: Ste","815.0"
"White Plains, NY: Westchester ","814.0"
"Fort Lauderdale, FL: Fort Laud","798.0"
"Baltimore, MD: Baltimore/Washi","797.0"
"Las Vegas, NV: McCarran Intern","796.0"
"Albany, NY: Albany Internation","795.0"
"Flint, MI: Bishop Internationa","784.0"
"Lubbock, TX: Lubbock Preston S","780.0"
"Syracuse, NY: Syracuse Hancock","777.0"
"Santa Ana, CA: John Wayne Airp","769.0"
"Santa Barbara, CA: Santa Barba","768.0"
"Grand Rapids, MI: Gerald R. Fo","767.0"
"San Diego, CA: San Diego Inter","759.0"
"Springfield, IL: Abraham Linco","757.0"
"Yap, Federated States of Micro","752.0"
"Bismarck/Mandan, ND: Bismarck ","748.0"
"Gunnison, CO: Gunnison-Crested","746.0"
"Houston, TX: William P Hobby","745.0"
"Greer, SC: Greenville-Spartanb","744.0"
"Sacramento, CA: Sacramento Int","738.0"
"Harrisburg, PA: Harrisburg Int","737.0"
"Charlotte, NC: Charlotte Dougl","735.0"
"Albuquerque, NM: Albuquerque I","734.0"
"Koror, Palau: Babelthuap","733.0"
"Reno, NV: Reno/Tahoe Internati","731.0"
"Birmingham, AL: Birmingham-Shu","730.0"
"Rochester, MN: Rochester Inter","725.0"
"Long Beach, CA: Long Beach Air","720.0"
"Juneau, AK: Juneau Internation","715.0"
"Palm Springs, CA: Palm Springs","711.0"
"Rochester, NY: Greater Rochest","706.0"
"Billings, MT: Billings Logan I","700.0"
"Omaha, NE: Eppley Airfield","695.0"
"Des Moines, IA: Des Moines Int","695.0"
"Anchorage, AK: Ted Stevens Anc","682.0"
"Madison, WI: Dane County Regio","681.0"
"Sarasota/Bradenton, FL: Saraso","674.0"
"Sioux City, IA: Sioux Gateway/","669.0"
"Eugene, OR: Mahlon Sweet Field","668.0"
"Oakland, CA: Metropolitan Oakl","642.0"
"Bozeman, MT: Bozeman Yellowsto","634.0"
"West Palm Beach/Palm Beach, FL","632.0"
"Fargo, ND: Hector Internationa","632.0"
"Yakutat, AK: Yakutat Airport","627.0"
"Kalispell, MT: Glacier Park In","627.0"
"Pensacola, FL: Pensacola Inter","626.0"
"Tulsa, OK: Tulsa International","624.0"
"Ontario, CA: Ontario Internati","621.0"
"Islip, NY: Long Island MacArth","618.0"
"Colorado Springs, CO: City of ","614.0"
"Ketchikan, AK: Ketchikan Inter","605.0"
"Boise, ID: Boise Air Terminal","596.0"
"Greensboro/High Point, NC: Pie","594.0"
"Pittsburgh, PA: Pittsburgh Int","594.0"
"Cincinnati, OH: Cincinnati/Nor","593.0"
"Columbus, OH: Port Columbus In","592.0"
"Lansing, MI: Capital Region In","590.0"
"Missoula, MT: Missoula Interna","590.0"
"Kotzebue, AK: Ralph Wien Memor","586.0"
"Spokane, WA: Spokane Internati","586.0"
"Kahului, HI: Kahului Airport","586.0"
"Dayton, OH: James M Cox/Dayton","585.0"
"Little Rock, AR: Bill and Hill","584.0"
"Sitka, AK: Sitka Rocky Gutierr","582.0"
"Nome, AK: Nome Airport","575.0"
"Jackson/Vicksburg, MS: Jackson","567.0"
"Sioux Falls, SD: Joe Foss Fiel","564.0"
"Corpus Christi, TX: Corpus Chr","562.0"
"Allentown/Bethlehem/Easton, PA","562.0"
"Monroe, LA: Monroe Regional","556.0"
"Charleston, SC: Charleston AFB","552.0"
"El Paso, TX: El Paso Internati","548.0"
"New Haven, CT: Tweed New Haven","523.0"
"Harlingen/San Benito, TX: Vall","512.0"
"Kona, HI: Kona International A","508.0"
"Daytona Beach, FL: Daytona Bea","505.0"
"Wichita, KS: Wichita Dwight D ","501.0"
"Richmond, VA: Richmond Interna","500.0"
"Minot, ND: Minot International","500.0"
"Grand Forks, ND: Grand Forks I","493.0"
"Melbourne, FL: Melbourne Inter","493.0"
"Manchester, NH: Manchester-Bos","490.0"
"Fairbanks, AK: Fairbanks Inter","490.0"
"Tallahassee, FL: Tallahassee I","488.0"
